Source;Target;Label;Weight
6;82;"Edge from 6 to 82";0.010306
20;82;"Edge from 20 to 82";0.035859
24;82;"Edge from 24 to 82";0.02073
27;82;"Edge from 27 to 82";0.30272
45;82;"Edge from 45 to 82";0.082121
126;82;"Edge from 126 to 82";0.043103
128;82;"Edge from 128 to 82";0.01903
145;82;"Edge from 145 to 82";0.011351
15;83;"Edge from 15 to 83";0.40704
108;83;"Edge from 108 to 83";0.013074
119;83;"Edge from 119 to 83";0.1098
56;84;"Edge from 56 to 84";0.020115
67;84;"Edge from 67 to 84";0.25
142;84;"Edge from 142 to 84";0.18679
5;85;"Edge from 5 to 85";0.012346
9;85;"Edge from 9 to 85";0.13345
23;85;"Edge from 23 to 85";0.11436
118;85;"Edge from 118 to 85";0.016643
127;85;"Edge from 127 to 85";0.2464
16;86;"Edge from 16 to 86";0.11843
32;86;"Edge from 32 to 86";0.060711
33;86;"Edge from 33 to 86";0.09361
50;86;"Edge from 50 to 86";0.081283
98;86;"Edge from 98 to 86";0.046085
120;86;"Edge from 120 to 86";0.12689
130;86;"Edge from 130 to 86";0.025954
2;87;"Edge from 2 to 87";0.051872
24;87;"Edge from 24 to 87";0.37759
119;87;"Edge from 119 to 87";0.016775
128;87;"Edge from 128 to 87";0.12391
10;88;"Edge from 10 to 88";0.041451
36;88;"Edge from 36 to 88";0.3414
62;88;"Edge from 62 to 88";0.013115
141;88;"Edge from 141 to 88";0.20894
2;89;"Edge from 2 to 89";0.31894
4;89;"Edge from 4 to 89";0.015638
7;89;"Edge from 7 to 89";0.026512
118;89;"Edge from 118 to 89";0.017906
119;89;"Edge from 119 to 89";0.039803
128;89;"Edge from 128 to 89";0.023
131;89;"Edge from 131 to 89";0.10928
8;90;"Edge from 8 to 90";0.37899
136;90;"Edge from 136 to 90";0.19048
5;91;"Edge from 5 to 91";0.040942
7;91;"Edge from 7 to 91";0.31526
40;91;"Edge from 40 to 91";0.049659
118;91;"Edge from 118 to 91";0.063841
125;91;"Edge from 125 to 91";0.11034
126;91;"Edge from 126 to 91";0.01041
39;92;"Edge from 39 to 92";0.39451
124;92;"Edge from 124 to 92";0.085466
19;93;"Edge from 19 to 93";0.42779
54;93;"Edge from 54 to 93";0.01369
137;93;"Edge from 137 to 93";0.16161
42;94;"Edge from 42 to 94";0.4816
112;94;"Edge from 112 to 94";0.0084034
144;94;"Edge from 144 to 94";0.0035503
28;95;"Edge from 28 to 95";0.43805
37;95;"Edge from 37 to 95";0.033773
128;95;"Edge from 128 to 95";0.016285
12;96;"Edge from 12 to 96";0.050488
29;96;"Edge from 29 to 96";0.18118
55;96;"Edge from 55 to 96";0.02327
61;96;"Edge from 61 to 96";0.018394
64;96;"Edge from 64 to 96";0.21861
74;96;"Edge from 74 to 96";0.027617
129;96;"Edge from 129 to 96";0.014621
138;96;"Edge from 138 to 96";0.15343
20;97;"Edge from 20 to 97";0.3285
21;97;"Edge from 21 to 97";0.011858
27;97;"Edge from 27 to 97";0.011719
125;97;"Edge from 125 to 97";0.02176
126;97;"Edge from 126 to 97";0.021233
33;98;"Edge from 33 to 98";0.17159
34;98;"Edge from 34 to 98";0.026944
48;98;"Edge from 48 to 98";0.073964
50;98;"Edge from 50 to 98";0.011486
86;98;"Edge from 86 to 98";0.046085
120;98;"Edge from 120 to 98";0.02592
130;98;"Edge from 130 to 98";0.13903
14;99;"Edge from 14 to 99";0.069967
18;99;"Edge from 18 to 99";0.30878
22;99;"Edge from 22 to 99";0.017851
136;99;"Edge from 136 to 99";0.031496
144;99;"Edge from 144 to 99";0.16468
34;100;"Edge from 34 to 100";0.39715
130;100;"Edge from 130 to 100";0.035809
59;101;"Edge from 59 to 101";0.40762
130;101;"Edge from 130 to 101";0.0031328
60;102;"Edge from 60 to 102";0.40933
121;102;"Edge from 121 to 102";0.11875
10;103;"Edge from 10 to 103";0.14488
30;103;"Edge from 30 to 103";0.10163
34;103;"Edge from 34 to 103";0.01547
47;103;"Edge from 47 to 103";0.11133
52;103;"Edge from 52 to 103";0.11685
57;103;"Edge from 57 to 103";0.022926
66;103;"Edge from 66 to 103";0.032931
120;103;"Edge from 120 to 103";0.032135
141;103;"Edge from 141 to 103";0.088046
17;104;"Edge from 17 to 104";0.2685
23;104;"Edge from 23 to 104";0.10548
43;104;"Edge from 43 to 104";0.16388
58;104;"Edge from 58 to 104";0.066302
72;104;"Edge from 72 to 104";0.00047672
122;104;"Edge from 122 to 104";0.095749
35;105;"Edge from 35 to 105";0.45042
131;105;"Edge from 131 to 105";0.012577
33;106;"Edge from 33 to 106";0.072605
41;106;"Edge from 41 to 106";0.026977
46;106;"Edge from 46 to 106";0.15191
130;106;"Edge from 130 to 106";0.013658
135;106;"Edge from 135 to 106";0.1366
69;107;"Edge from 69 to 107";0.2806
132;107;"Edge from 132 to 107";0.05736
15;108;"Edge from 15 to 108";0.012907
31;108;"Edge from 31 to 108";0.40094
83;108;"Edge from 83 to 108";0.013074
119;108;"Edge from 119 to 108";0.030842
54;109;"Edge from 54 to 109";0.41326
134;109;"Edge from 134 to 109";0.12273
62;110;"Edge from 62 to 110";0.3991
123;110;"Edge from 123 to 110";0.1697
131;111;"Edge from 131 to 111";0.0025025
11;112;"Edge from 11 to 112";0.3617
94;112;"Edge from 94 to 112";0.0084034
49;113;"Edge from 49 to 113";0.02027
68;113;"Edge from 68 to 113";0.4
139;113;"Edge from 139 to 113";0.0016639
65;114;"Edge from 65 to 114";0.38235
143;114;"Edge from 143 to 114";0.23469
21;115;"Edge from 21 to 115";0.35641
140;115;"Edge from 140 to 115";0.014953
45;116;"Edge from 45 to 116";0.015464
56;116;"Edge from 56 to 116";0.23529
145;116;"Edge from 145 to 116";0.10526
44;117;"Edge from 44 to 117";0.4507
121;117;"Edge from 121 to 117";0.10169
75;118;"Edge from 75 to 118";0.012838
76;118;"Edge from 76 to 118";0.12897
78;118;"Edge from 78 to 118";0.021432
79;118;"Edge from 79 to 118";0.039953
85;118;"Edge from 85 to 118";0.016643
89;118;"Edge from 89 to 118";0.017906
91;118;"Edge from 91 to 118";0.063841
125;118;"Edge from 125 to 118";0.011896
146;118;"Edge from 146 to 118";0.014443
150;118;"Edge from 150 to 118";0.1586
152;118;"Edge from 152 to 118";0.014512
83;119;"Edge from 83 to 119";0.1098
87;119;"Edge from 87 to 119";0.016775
89;119;"Edge from 89 to 119";0.039803
108;119;"Edge from 108 to 119";0.030842
128;119;"Edge from 128 to 119";0.013781
131;119;"Edge from 131 to 119";0.013062
148;119;"Edge from 148 to 119";0.11524
